packet_count,byte_count,flow_duration,protocol_type,src_port,dst_port,avg_pkt_size,payload_entropy,connection_state,cpu_usage,memory_usage,disk_io,network_io,vm_count,power_consumption_watts,carbon_emission_gCO2eq,pue,energy_cost_usd,status
910,2514024,3086,ICMP,14552,5335,123.73825480892275,5.444399647184449,FIN,88.19462996761511,28.010010106515498,701.1867269850226,1031.9018523434347,42,728.8019499978811,314.171342473863,1.9726177596332533,0.4484294733158557,normal
3822,2399083,995,UDP,55182,774,370.6287311890717,6.994095287012819,SYN,54.2355245075369,97.84661079500944,472.5783396625805,8471.42902974725,26,1447.149762330001,447.8639111541854,1.6941584879956688,2.1241528757763093,normal
3142,6537295,3613,ICMP,14337,2367,447.6796827304046,4.434267818182176,FIN,85.85133360360882,67.75485905115647,199.06009177052385,659.8244197345485,15,1920.8660697026462,104.22340723536755,1.2774762780773525,1.6521753982951104,normal
516,3910439,4495,TCP,2583,4930,844.0373770070737,2.516806505937749,FIN,27.823800008395324,93.23641856647563,525.3681979416809,5960.99470371711,13,1963.5341141310105,52.63322765746957,1.7754412191239304,4.077886062842955,normal
4476,5628745,719,TCP,51917,6710,259.54707466507784,2.1880640782351106,ACK,75.79070959672636,83.66450719827736,362.5570479149215,1918.7229159489793,40,1312.3957173607985,317.3338403322227,1.2563426928868604,0.5595583722938916,normal
3494,3912146,2628,TCP,16191,746,244.21476813000052,1.001104212046397,SYN,57.8821234623447,58.28125057713166,297.8268861740364,2366.370283317353,22,467.8371077342478,203.12411589858698,1.1570464066695576,3.4171642662923434,normal
3221,1708017,4859,TCP,16367,4846,1418.493889351539,6.02766596486899,ACK,5.793511275247581,67.86340450031076,334.8274754954539,2806.0062013881934,13,326.49693168651777,89.8223197135644,1.574798056531251,2.0388794636707863,normal
2969,690556,1421,UDP,39622,4943,1216.0942155817825,1.7776804619219335,ACK,41.12889005355541,62.85888217590712,444.6121953151056,479.0847233505023,39,1897.4829241328082,67.3727120038739,1.5981715587461125,2.9428758955569196,normal
180,7289538,4631,UDP,8547,2669,311.9496080321969,2.706873697871583,ACK,19.207136047223024,66.96003959298689,887.7470114429049,1854.6292139888947,17,924.4626099787642,283.8657955682746,1.2700690172584388,1.0356035418835183,normal
1735,2254722,1495,TCP,50801,5447,639.5233214629619,3.0851343206595536,FIN,36.55818519999685,27.21259279810035,736.7165332868982,6539.94984668801,36,470.1504631991012,157.23059131881584,1.413541049862943,3.052421386960511,normal
